品种,趋势强度,日期,文件名
豆油,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
豆粕,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
豆一,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
玉米,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
白糖,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
棉花,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
花生,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
黄金,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
白银,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
铜,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
锌,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
铅,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
锡,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
铝,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
氧化铝,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
铝合金,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
镍,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
不锈钢,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
碳酸锂,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
工业硅,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
多晶硅,1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
铁矿石,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
螺纹钢,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
热轧卷板,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
硅铁,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
锰硅,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
焦炭,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
焦煤,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
动力煤,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
原木,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
对二甲苯,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
PTA,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
MEG,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
橡胶,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
合成橡胶,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
沥青,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
LLDPE,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
PP,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
烧碱,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
纸浆,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
甲醇,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
尿素,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
苯乙烯,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
纯碱,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
PVC,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
燃料油,1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
低硫燃料油,1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
集运指数（欧线）,-1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
短纤,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
瓶片,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
双胶纸,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
纯苯,1,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
棕榈油,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
豆油,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
豆粕,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
豆一,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
白糖,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
棉花,0,2025-07-29,11_国泰君安期货_[合集]_R3_晨报_20250729.pdf
黄金,-1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
白银,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
铜,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
锌,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
铅,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
锡,-1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
铝,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
氧化铝,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
铝合金,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
镍,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
不锈钢,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
碳酸锂,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
工业硅,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
多晶硅,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
铁矿石,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
螺纹钢,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
热轧卷板,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
硅铁,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
锰硅,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
焦炭,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
焦煤,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
动力煤,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
原木,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
对二甲苯,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
PTA,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
MEG,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
橡胶,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
合成橡胶,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
沥青,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
LLDPE,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
PP,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
烧碱,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
纸浆,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
甲醇,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
尿素,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
苯乙烯,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
纯碱,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
PVC,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
燃料油,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
低硫燃料油,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
集运指数（欧线）,-1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
短纤,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
瓶片,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
双胶纸,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
纯苯,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
棕榈油,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
豆油,1,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
豆粕,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
豆一,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
玉米,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
白糖,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
棉花,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
花生,0,2025-07-30,11_国泰君安期货_[合集]_R3_晨报_20250730.pdf
黄金,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
白银,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
铜,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
锌,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
铅,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
锡,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
铝,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
氧化铝,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
铝合金,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
镍,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
不锈钢,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
碳酸锂,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
工业硅,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
多晶硅,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
铁矿石,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
螺纹钢,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
热轧卷板,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
硅铁,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
锰硅,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
焦炭,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
焦煤,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
动力煤,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
原木,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
对二甲苯,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
PTA,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
MEG,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
橡胶,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
合成橡胶,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
沥青,1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
LLDPE,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
PP,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
烧碱,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
纸浆,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
甲醇,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
尿素,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
苯乙烯,1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
纯碱,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
PVC,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
燃料油,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
低硫燃料油,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
集运指数（欧线）,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
短纤,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
瓶片,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
双胶纸,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
纯苯,1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
棕榈油,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
豆油,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
豆粕,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
豆一,-1,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
玉米,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
白糖,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
棉花,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
花生,0,2025-07-31,11_国泰君安期货_[合集]_R3_晨报_20250731.pdf
黄金,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
白银,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
铜,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
锌,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
铅,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
锡,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
铝,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
氧化铝,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
铝合金,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
镍,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
不锈钢,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
碳酸锂,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
工业硅,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
多晶硅,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
铁矿石,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
螺纹钢,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
热轧卷板,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
硅铁,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
锰硅,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
焦炭,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
焦煤,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
动力煤,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
原木,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
对二甲苯,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
PTA,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
MEG,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
橡胶,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
合成橡胶,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
沥青,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
LLDPE,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
PP,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
烧碱,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
纸浆,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
甲醇,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
尿素,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
苯乙烯,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
纯碱,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
PVC,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
燃料油,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
低硫燃料油,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
集运指数（欧线）,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
短纤,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
瓶片,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
双胶纸,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
纯苯,1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
棕榈油,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
豆油,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
豆粕,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
豆一,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
玉米,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
白糖,-1,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
棉花,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
花生,0,2025-08-01,11_国泰君安期货_[合集]_R3_晨报_20250801.pdf
黄金,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
白银,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
铜,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
锌,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
铅,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
锡,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
铝,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
氧化铝,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
铝合金,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
镍,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
不锈钢,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
碳酸锂,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
工业硅,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
多晶硅,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
铁矿石,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
螺纹钢,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
热轧卷板,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
硅铁,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
锰硅,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
焦炭,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
焦煤,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
动力煤,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
原木,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
对二甲苯,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
PTA,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
MEG,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
橡胶,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
合成橡胶,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
沥青,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
LLDPE,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
PP,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
烧碱,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
纸浆,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
甲醇,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
尿素,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
苯乙烯,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
纯碱,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
PVC,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
燃料油,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
低硫燃料油,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
集运指数（欧线）,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
短纤,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
瓶片,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
双胶纸,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
纯苯,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
棕榈油,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
豆油,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
豆粕,1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
豆一,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
玉米,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
白糖,-1,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
棉花,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
花生,0,2025-08-04,11_国泰君安期货_[合集]_R3_晨报_20250804.pdf
黄金,1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
白银,1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
铜,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
锌,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
铅,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
锡,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
铝,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
氧化铝,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
铝合金,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
镍,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
不锈钢,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
碳酸锂,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
工业硅,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
多晶硅,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
铁矿石,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
螺纹钢,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
热轧卷板,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
硅铁,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
锰硅,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
焦炭,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
焦煤,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
原木,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
对二甲苯,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
PTA,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
MEG,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
橡胶,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
合成橡胶,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
沥青,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
LLDPE,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
PP,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
烧碱,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
纸浆,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
甲醇,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
尿素,1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
苯乙烯,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
纯碱,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
LPG,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
丙烯,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
PVC,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
燃料油,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
低硫燃料油,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
集运指数（欧线）,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
短纤,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
瓶片,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
双胶纸,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
纯苯,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
